country,date,confirmed
Argentina,2020-01-22,0
Argentina,2020-01-23,0
Argentina,2020-01-24,0
Argentina,2020-01-25,0
Argentina,2020-01-26,0
Argentina,2020-01-27,0
Argentina,2020-01-28,0
Argentina,2020-01-29,0
Argentina,2020-01-30,0
Argentina,2020-01-31,0
Argentina,2020-02-01,0
Argentina,2020-02-02,0
Argentina,2020-02-03,0
Argentina,2020-02-04,0
Argentina,2020-02-05,0
Argentina,2020-02-06,0
Argentina,2020-02-07,0
Argentina,2020-02-08,0
Argentina,2020-02-09,0
Argentina,2020-02-10,0
Argentina,2020-02-11,0
Argentina,2020-02-12,0
Argentina,2020-02-13,0
Argentina,2020-02-14,0
Argentina,2020-02-15,0
Argentina,2020-02-16,0
Argentina,2020-02-17,0
Argentina,2020-02-18,0
Argentina,2020-02-19,0
Argentina,2020-02-20,0
Argentina,2020-02-21,0
Argentina,2020-02-22,0
Argentina,2020-02-23,0
Argentina,2020-02-24,0
Argentina,2020-02-25,0
Argentina,2020-02-26,0
Argentina,2020-02-27,0
Argentina,2020-02-28,0
Argentina,2020-02-29,0
Argentina,2020-03-01,0
Argentina,2020-03-02,0
Argentina,2020-03-03,1
Argentina,2020-03-04,1
Argentina,2020-03-05,1
Argentina,2020-03-06,2
Argentina,2020-03-07,8
Argentina,2020-03-08,12
Argentina,2020-03-09,12
Argentina,2020-03-10,17
Argentina,2020-03-11,19
Argentina,2020-03-12,19
Argentina,2020-03-13,31
Argentina,2020-03-14,34
Argentina,2020-03-15,45
Argentina,2020-03-16,56
Argentina,2020-03-17,68
Argentina,2020-03-18,79
Argentina,2020-03-19,97
Argentina,2020-03-20,128
Argentina,2020-03-21,158
Argentina,2020-03-22,266
Argentina,2020-03-23,301
Argentina,2020-03-24,387
Argentina,2020-03-25,387
Argentina,2020-03-26,502
Argentina,2020-03-27,589
Argentina,2020-03-28,690
Argentina,2020-03-29,745
Argentina,2020-03-30,820
Argentina,2020-03-31,1054
Argentina,2020-04-01,1054
Argentina,2020-04-02,1133
Argentina,2020-04-03,1265
Argentina,2020-04-04,1451
Argentina,2020-04-05,1451
Argentina,2020-04-06,1554
Argentina,2020-04-07,1628
Argentina,2020-04-08,1715
Argentina,2020-04-09,1795
Argentina,2020-04-10,1975
Argentina,2020-04-11,1975
Argentina,2020-04-12,2142
Argentina,2020-04-13,2208
Argentina,2020-04-14,2277
Argentina,2020-04-15,2443
Argentina,2020-04-16,2571
Argentina,2020-04-17,2669
Argentina,2020-04-18,2758
Argentina,2020-04-19,2839
Argentina,2020-04-20,2941
Argentina,2020-04-21,3031
Argentina,2020-04-22,3144
Argentina,2020-04-23,3435
Argentina,2020-04-24,3607
Argentina,2020-04-25,3780
Argentina,2020-04-26,3892
Argentina,2020-04-27,4003
Argentina,2020-04-28,4127
Argentina,2020-04-29,4285
Argentina,2020-04-30,4428
